rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L1,StatusNeuro_ADAD,0.00522128418435053,0.00206763900873489,57.711956146141,2.52523973589821,0.0143319073921974,L1
L2,StatusNeuro_ADAD,0.00417279299638745,0.000858894116189941,58.016389711962,4.8583322643983,9.35605611277261e-06,L2
L3,StatusNeuro_ADAD,0.00531278526444755,0.00118573190099403,57.7735192096534,4.48059570632596,3.57279516017374e-05,L3
L4,StatusNeuro_ADAD,0.00343522490189706,0.00165598718292191,58.0806324282226,2.07442722825654,0.0424813095365647,L4
L5,StatusNeuro_ADAD,0.00195429787294818,0.000783891043157069,56.8526363624082,2.49307335503845,0.0156004215404147,L5
L6,rs1582763,0.00169570671516025,0.000713199175196513,57.4267217902223,2.37760610798943,0.0207768805290371,L6
L9,rs1582763,0.00118333289848389,0.000460581189249286,57.5565942957468,2.56921673334648,0.0128077996015452,L9
L10.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00203686502979661,0.000823879177440435,56.9816381256522,2.47228608947806,0.0164343240221527,L10
L10.rs1582763,rs1582763,0.000714335573260741,0.000330242210434555,56.9115809875158,2.16306562483569,0.0347506578173124,L10
L12,rs1582763,0.000695297953821027,0.000276854327791667,57.7569645937667,2.51142165400513,0.0148439998927686,L12
L13,StatusNeuro_ADAD,0.00315785507708795,0.000763296398145488,57.5710069671806,4.13712823060648,0.000115908969679851,L13
L14,StatusNeuro_ADAD,0.00157039950738824,0.000408555222139605,56.3164972466401,3.84378762597636,0.000310380345569189,L14
L15,StatusNeuro_ADAD,0.00362634876525671,0.00115013747892311,57.8424518474368,3.15296982466141,0.00256195509414451,L15
L16,StatusNeuro_ADAD,-0.00489848057961549,0.0012675611033853,56.7487406327532,-3.86449265959096,0.000288492919459481,L16
L18,APOE4,0.000628912966024007,0.000305336984101418,58.0870284948905,2.05973399480199,0.0439146352187874,L18
L19,StatusNeuro_ADAD,-0.00141728660835312,0.000671651006000698,57.3369744166877,-2.11015333214829,0.0392200459048043,L19
