1,2,3,4,5,6,7
0,21,239,0,2711,205,406,3450
1,4,62,8,467,1238,1254,629
2,5,14,0,440,57,141,1424
3,1,913,0,355,388,5,7
4,8,1,1223,2,0,21,39
5,385,1,0,13,20,61,33
6,317,1,0,5,1,22,14
7,3,42,0,155,25,19,32
8,38,0,19,0,0,0,0

1,2,3,4,5,6,7
sample1,11,0,0,368,236,45,50
sample10,0,0,0,41,2,0,50
sample11,10,4,0,24,8,3,688
sample13,8,0,0,29,62,0,7
sample14,0,0,0,4,4,7,1
sample15,0,8,1,15,10,19,206
sample17,13,15,0,103,30,2,318
sample19,30,0,0,134,36,0,1
sample2,0,0,297,0,0,4,0
sample20,10,0,0,7,28,95,188
sample21,4,25,0,131,13,1,164
sample22,21,165,0,1,1,0,0
sample23,25,0,0,0,0,0,0
sample24,21,0,0,27,8,9,271
sample25,2,0,0,0,0,0,1
sample26,10,0,44,1,2,13,54
sample27,1,4,0,160,160,3,6
sample28,1,0,0,0,0,0,0
sample3,9,0,0,36,47,140,587
sample30,3,0,0,52,2,40,599
sample31,0,31,0,103,2,31,262
sample32,2,0,0,43,2,2,44
sample33,24,1,1,8,63,24,1
sample34,13,9,0,253,62,0,2
sample36,10,10,0,540,42,0,123
sample37,0,476,0,0,1,0,0
sample38,1,0,0,0,0,0,0
sample39,1,1,0,4,2,1,1
sample4,1,0,0,25,66,5,14
sample40,1,0,60,0,0,0,0
sample41,9,0,0,3,2,30,459
sample42,25,0,0,305,12,13,31
sample43,12,10,0,18,19,9,2
sample44,4,0,0,0,0,20,2
sample46,5,0,2,0,0,0,0
sample47,15,4,0,14,8,37,154
sample49,8,0,2,0,6,219,37
sample5,10,275,0,23,29,0,0
sample50,16,0,644,0,0,0,0
sample51,90,0,0,0,17,502,46
sample52,59,0,0,0,4,502,14
sample53,36,0,0,0,8,41,0
sample54,36,0,33,0,0,0,0
sample55,1,40,1,44,79,0,0
sample56,13,12,0,145,8,3,6
sample57,4,117,0,69,29,0,0
sample58,5,2,0,209,15,16,44
sample59,25,0,0,37,4,4,81
sample6,19,7,0,100,374,0,2
sample63,8,1,0,63,5,3,52
sample64,20,8,0,19,90,0,0
sample65,24,0,0,168,28,15,27
sample66,6,1,0,93,22,1,266
sample67,12,5,0,107,10,6,29
sample68,17,0,0,29,18,25,203
sample69,18,21,0,119,135,12,65
sample7,25,0,0,14,10,20,231
sample70,2,1,0,25,57,3,2
sample72,4,4,0,220,30,3,181
sample73,5,0,0,0,1,0,0
sample74,4,0,165,0,0,0,0
sample76,3,13,0,72,5,0,37
sample8,3,2,0,110,20,0,0
sample9,7,1,0,33,0,1,19
