rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L1,Sex2,0.00167408660688327,0.000230897323507451,52.6516802257423,7.25035085488657,1.8471010500215e-09,L1
L2,StatusNeuro_ADAD,0.0106698996827599,0.00433667234262566,53.391063492695,2.46038871276583,0.0171467809514822,L2
L12,StatusNeuro_AD,0.0020211506394467,0.000724278949414725,55.1326199465933,2.79056935325809,0.00721302706127526,L12
L16,StatusNeuro_AD,-0.00740696580763691,0.00355410845619587,44.3040772674978,-2.08405733784639,0.042953383684585,L16
L21,StatusNeuro_ADAD,-0.00287783277735122,0.000957890591972057,51.1422544698591,-3.00434392139345,0.00411434128283015,L21
L22,StatusNeuro_ADAD,-0.00611472903329559,0.00255328234289757,49.7202414707587,-2.39485031896486,0.0204375202628355,L22
L25,StatusNeuro_AD,0.00125745706890576,0.000585614236633635,44.4404594697972,2.1472447052076,0.0372670020258429,L25
L26,StatusNeuro_ADAD,0.00299179228514452,0.000773128972840962,53.8190620438643,3.86971952965467,0.000296534922888031,L26
L30,StatusNeuro_ADAD,0.00202928471420995,0.000994328814557405,50.1792946404977,2.04085880294359,0.0465426242017478,L30
L32,StatusNeuro_ADAD,0.00552965215512111,0.00185253620866338,51.5225659797975,2.98490908261967,0.00433064045851771,L32
L35,rs1582763,-0.000720219106223643,0.000300997817843891,50.5847104697541,-2.39277185257594,0.0204739066575878,L35
