1,2,3,4,5,6,7
0,2895,336,3927,0,0,6140,1617
1,1073,2138,777,2329,1411,1477,1370
2,0,4,0,3577,6660,0,20
3,202,9,244,0,0,886,1072

1,2,3,4,5,6,7
sample1,1,1,1,3,0,3,2
sample11,13,6,2,3,594,317,20
sample13,1,0,0,0,21,23,0
sample14,0,0,2,1,13,33,274
sample15,1,0,36,6,3,25,3
sample16,1,1,21,76,263,89,0
sample17,2,0,1,0,10,39,0
sample19,0,0,0,0,223,13,37
sample2,0,0,1,6,2,13,12
sample20,25,10,58,28,53,19,7
sample21,0,0,5,2,1,14,0
sample22,0,4,13,53,531,160,55
sample23,1,0,0,2,25,10,0
sample24,1,0,0,0,111,95,156
sample25,12,53,1125,1383,24,126,0
sample26,22,2,59,59,270,130,28
sample27,0,0,0,0,1,18,1
sample29,2,5,17,92,459,577,7
sample3,2,1,5,0,0,2,0
sample30,13,0,7,0,1,14,0
sample31,0,0,1,1,0,1,0
sample32,2,0,0,1,48,41,0
sample34,0,0,5,6,24,18,1
sample35,2,0,23,34,301,367,1
sample36,14,1,8,6,12,26,0
sample37,1,0,13,5,1,4,0
sample38,0,0,0,1,16,29,213
sample39,5,1,2,8,148,234,13
sample4,2,0,0,6,200,197,4
sample41,4,0,15,14,47,81,58
sample42,2,1,0,0,0,1,16
sample43,0,1,4,3,1175,649,614
sample44,7,5,0,0,50,13,510
sample46,1361,1780,798,2726,888,1862,127
sample47,2,2,3,3,76,161,7
sample49,0,0,5,8,8,8,31
sample5,0,0,8,50,242,66,16
sample50,2,1,71,72,32,73,0
sample51,75,15,67,19,48,302,744
sample52,29,4,70,14,10,164,627
sample53,219,275,1296,668,31,225,4
sample54,1155,288,995,344,61,637,2
sample55,1,0,2,0,35,73,19
sample56,175,2,20,18,17,66,0
sample57,4,1,7,2,2,20,0
sample58,16,3,4,0,3,13,0
sample59,20,3,0,0,159,101,8
sample6,3,0,0,0,297,72,300
sample63,11,4,17,15,97,139,6
sample65,3,5,8,40,499,202,23
sample66,10,2,10,1,4,17,0
sample67,1,1,1,6,237,250,20
sample69,0,3,12,11,487,285,29
sample7,10,0,1,0,43,54,50
sample70,1,1,11,23,29,8,0
sample72,11,2,4,11,21,60,0
sample73,904,0,14,18,2,29,0
sample74,12,2,83,57,74,208,34
sample76,2,0,10,1,33,16,0
sample8,3,0,0,0,0,5,0
sample9,4,1,7,0,9,6,0
