rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L7,StatusNeuro_ADAD,-0.00172960574838163,0.000592962227211217,51.6866693292509,-2.91689026553378,0.00522007178157592,L7
L15,APOE4,-0.000732702395751332,0.000349280435148868,51.0636807508012,-2.09774817601519,0.040895870710811,L15
L16.StatusNeuro_AD,StatusNeuro_AD,0.000996870236907178,0.000276224044838233,53.4359819716266,3.60891912031403,0.000677893978012524,L16
L16.StatusNeuro_ADAD,StatusNeuro_ADAD,0.000625889679484164,0.000287129407006312,47.9117326616484,2.17981740710524,0.0342169132840485,L16
L16.StatusNeuro_Presympt,StatusNeuro_Presympt,0.00129929016966262,0.000485809290577316,37.9477867616312,2.67448604805108,0.0109802129693244,L16
L17.StatusNeuro_AD,StatusNeuro_AD,0.000403135856343856,0.000187460138807864,49.5807815751421,2.1505150850072,0.0364156309340966,L17
L17.StatusNeuro_Presympt,StatusNeuro_Presympt,0.000698951193735275,0.000338196056358285,37.7101941460711,2.06670415161437,0.0456786493824184,L17
L18.StatusNeuro_AD,StatusNeuro_AD,0.000931731085807864,0.000458911974015539,47.1770101632126,2.03030458685812,0.0479844825993474,L18
L18.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00104090197960889,0.000482799667104682,43.7322549867526,2.15597078981249,0.036628222683093,L18
L21,StatusNeuro_ADAD,0.00101122054477729,0.000411972374732308,49.241160009044,2.4545833817968,0.0176851662033775,L21
L22,StatusNeuro_Presympt,0.000658142177072085,0.000169333370914782,43.3104562860279,3.88666553743444,0.000344078913083782,L22
L23,StatusNeuro_AD,0.00108490680375341,0.000524428469496953,55.3669185243497,2.06874124281256,0.0432521919390857,L23
L24.Sex2,Sex2,0.000765373459122334,0.000297995907582781,47.4761668123431,2.56840258421912,0.0134201529298869,L24
L24.APOE4,APOE4,-0.000693935235425856,0.000337320337474781,48.2997882356153,-2.05719951729189,0.0450880414961684,L24
L26,rs1582763,-0.000725863032958513,0.000272902137500441,48.5907684586105,-2.65979240619668,0.0105608671228058,L26
L27.StatusNeuro_AD,StatusNeuro_AD,0.000577292637500196,0.000273827795546719,58.0062679006288,2.10823242522763,0.0393414610876695,L27
L27.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00098653453556189,0.000287900471441567,53.6695735422547,3.42665133760338,0.00117974285346652,L27
L29.Sex2,Sex2,-0.00350656474297093,0.0013156269099768,48.7382017401541,-2.66531850054113,0.0104022946591894,L29
L29.StatusNeuro_OT,StatusNeuro_OT,-0.0052461088123127,0.00248994456309917,48.6093885359827,-2.1069179169929,0.0403094410772323,L29
L29.APOE4,APOE4,0.00445061369873091,0.00148450237278918,48.9490002262772,2.99805091612539,0.00426058808473313,L29
L30,StatusNeuro_OT,0.00228573503563177,0.000945448868209071,50.2026931264394,2.4176188818773,0.0192942369077446,L30
L35,Sex2,-0.00601736865489882,0.0023718470639617,51.0337571592809,-2.53699690267888,0.0142802499218846,L35
L37.Sex2,Sex2,0.00300056670468382,0.00125793008254208,51.9034776690541,2.38532073151486,0.0207501464525389,L37
L37.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00443087961258657,0.00207343398920829,51.6973319696037,2.13697645338516,0.0373518977471612,L37
L38.Sex2,Sex2,0.0067242975489955,0.00237610740915211,51.0628814016484,2.82996363005114,0.00664002033932854,L38
L38.StatusNeuro_AD,StatusNeuro_AD,-0.00772594151963684,0.00365249205931107,51.1949839052164,-2.11525210573466,0.0392949422879892,L38
L38.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.0109006622013498,0.00391898850396618,50.9385126886607,-2.78149889705413,0.00756727866340818,L38
L40,StatusNeuro_ADAD,-0.000130728502860188,5.73832612588531e-05,51.4850474366231,-2.27816439833349,0.0268973760344267,L40
L42,StatusNeuro_ADAD,-0.000300084225010367,0.000146207816810132,43.7462710090463,-2.05244994116875,0.0461386940489275,L42
L46,StatusNeuro_ADAD,0.00124131434248743,0.000504620234558221,33.862966222935,2.45989807280352,0.0191601547902105,L46
