1,2,3,4,5,6,7
0,1600,2932,864,1024,21,3,2
1,159,5,3,0,1,3090,3023
2,100,8,74,11,2478,6,7
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0

1,2,3,4,5,6,7
sample1,0,14,5,3,10,28,43
sample11,2,24,2,1,9,35,31
sample13,0,49,36,26,10,53,83
sample14,0,33,7,4,34,9,9
sample15,8,3,0,3,10,1,14
sample16,1,58,10,6,34,37,4
sample17,1,91,12,59,16,68,90
sample19,0,3,2,0,4,7,9
sample2,13,47,26,19,45,45,26
sample20,9,6,3,1,6,7,25
sample21,0,39,16,9,1,5,78
sample22,48,144,86,90,57,17,35
sample23,0,20,14,11,57,77,54
sample24,0,86,13,10,38,46,32
sample25,98,69,26,26,85,228,22
sample26,19,115,29,18,67,80,63
sample27,0,19,1,4,15,19,47
sample29,6,3,2,0,14,0,15
sample3,1,4,3,1,4,0,0
sample30,0,6,1,1,11,11,14
sample31,3,26,2,4,4,0,31
sample32,0,77,37,41,41,51,40
sample34,1,1,0,1,0,1,4
sample35,7,54,2,14,0,38,34
sample36,1,25,5,9,16,15,35
sample37,11,2,3,13,4,8,14
sample38,2,4,1,3,6,16,2
sample39,1,12,2,1,8,5,12
sample4,0,27,2,6,16,64,37
sample41,1,27,1,3,10,22,122
sample42,0,0,3,1,8,2,2
sample43,7,238,61,54,127,118,66
sample44,4,37,6,2,15,10,5
sample46,741,155,86,57,323,337,64
sample47,0,13,27,22,125,109,92
sample49,6,18,8,7,51,20,31
sample5,7,91,17,51,30,60,50
sample50,51,87,46,62,40,47,210
sample51,10,30,10,9,24,26,18
sample52,63,79,12,19,104,119,64
sample53,538,100,31,27,348,392,191
sample54,129,74,48,33,174,198,44
sample55,1,11,2,0,6,9,15
sample56,3,28,2,8,12,42,46
sample57,4,7,0,4,1,4,25
sample58,2,1,1,7,2,8,9
sample59,0,54,4,13,29,36,36
sample6,0,22,1,5,3,11,13
sample63,2,140,26,41,70,102,143
sample65,2,81,44,25,95,107,104
sample66,0,44,18,23,19,36,125
sample67,4,96,10,14,64,108,29
sample69,10,165,35,56,82,59,204
sample7,0,36,10,18,17,16,6
sample70,8,32,17,14,20,13,73
sample72,0,28,9,7,1,15,83
sample73,15,1,1,2,7,5,12
sample74,19,57,9,17,49,51,92
sample76,0,99,33,39,8,16,90
sample8,0,13,7,9,10,19,36
sample9,0,20,8,2,4,11,29
