rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L1.StatusNeuro_AD,StatusNeuro_AD,-0.000624429547583776,0.000238867762476174,58.5569805837887,-2.61412231232359,0.0113544307930597,L1
L1.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00051906855322619,0.000256136464972406,58.5599888682634,-2.02653126052204,0.0472723924916222,L1
L2,StatusNeuro_ADAD,0.00161592358426988,0.000411619683328042,58.6969788221476,3.92576849387949,0.000229703287537454,L2
L3,StatusNeuro_ADAD,0.00334105267190259,0.0013393750253533,58.0005433530517,2.49448631537779,0.0154845435742645,L3
L4.StatusNeuro_AD,StatusNeuro_AD,0.00109742586770624,0.000527497192658171,58.2481113012398,2.08043925727088,0.041893601421991,L4
L4.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00150895189836028,0.000565644753660013,58.2467519553906,2.6676670977616,0.00987485959390839,L4
L6,StatusNeuro_ADAD,-0.00559248506595048,0.00124142526833755,56.3797229331618,-4.50489063545455,3.39131580290302e-05,L6
L7,Sex2,0.00253807421279496,0.00106062350065242,58.137605535905,2.39300205137234,0.0199611891263782,L7
L8,Sex2,0.00182399210930868,0.000750889609271906,56.1861666023755,2.42910820283863,0.018359073167375,L8
L9,StatusNeuro_ADAD,0.00629980006416205,0.00150848878952205,57.6724559441058,4.17623260306632,0.000101449884949876,L9
L10.StatusNeuro_AD,StatusNeuro_AD,0.00369608635476515,0.00167050525733104,57.648742095216,2.2125559548794,0.0309034442453463,L10
L10.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00928293131788895,0.00179131483445778,57.6483884713946,5.18218860209398,2.92949110023902e-06,L10
L11,StatusNeuro_ADAD,0.00691460926175805,0.00157700746995393,58.0094568667927,4.38463951090863,4.95417307139879e-05,L11
L12,StatusNeuro_ADAD,0.00686086442128162,0.00144666510656945,58.0159565306246,4.74253812449458,1.41459270524273e-05,L12
L13,StatusNeuro_ADAD,0.00311949778932834,0.000623239537372119,57.8144126484462,5.00529507880976,5.543842880365e-06,L13
L14,rs1582763,0.000931840444981083,0.00039525074542196,53.7521379893611,2.35759313745575,0.0220644568254926,L14
L16,rs1582763,0.000464955945375297,0.000205195795777354,56.9585535121822,2.26591360516857,0.0272748197956815,L16
L18,StatusNeuro_ADAD,0.00987602905860018,0.00179622766697766,57.9893909418005,5.4982056229084,9.00914149327541e-07,L18
L19,StatusNeuro_AD,-0.00183033981199935,0.000874651229184989,56.6877088934422,-2.09265104869845,0.0408683444384972,L19
L21.StatusNeuro_AD,StatusNeuro_AD,-0.00193469736042956,0.000731715401354043,57.3057652046886,-2.64405717967585,0.0105496570239615,L21
L21.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00397118140582887,0.000784628039682756,57.3021153109719,-5.06122800229586,4.60290300051229e-06,L21
