1,2,3,4,5,6,7
0,1794,3052,342,27779,712,2844,15453
1,18469,795,4769,214,1525,3133,1026
2,706,19978,2914,812,200,283,3104
3,3587,23,2142,120,2867,11170,304
4,134,486,4479,517,6912,186,187
5,857,274,3044,211,848,739,2588
6,1519,993,317,1786,73,1703,2158
7,537,619,61,737,10,369,1006
8,4,529,177,11,33,17,199

1,2,3,4,5,6,7
sample1,1264,184,528,4,77,1170,986
sample10,7,117,7,1823,9,0,9
sample11,28,835,108,2863,202,6,1664
sample13,0,3311,321,0,23,0,12
sample14,154,8,72,28,4,128,30
sample15,2,401,312,1738,1571,7,329
sample16,0,12,7,8,18,2,79
sample17,1,4175,69,385,4,0,2
sample19,4,2138,357,17,107,16,321
sample2,66,0,325,0,4,600,0
sample20,1700,0,14,2035,28,1156,88
sample21,4,368,42,1383,20,2,80
sample22,18,50,0,29,2,6,52
sample23,0,423,86,301,141,0,405
sample24,0,487,16,30,2,3,324
sample25,0,0,0,0,1,0,6
sample26,1173,0,231,35,476,505,4
sample27,123,158,90,336,33,189,599
sample28,0,12,6,0,22,0,78
sample29,0,68,11,5,12,0,245
sample3,5544,19,693,1,66,8,1
sample30,8368,0,284,2,19,49,0
sample31,63,98,0,853,0,2,0
sample32,719,16,105,0,2,16,46
sample33,221,25,639,1,388,489,74
sample34,24,906,610,426,541,3,1465
sample35,5,1,2,0,5,15,18
sample36,5,656,105,3376,342,0,1148
sample37,8,220,6,3037,58,0,2
sample38,23,6,23,0,3,51,3
sample39,0,7,0,2,3,0,76
sample4,358,133,264,724,327,82,1381
sample40,1,0,24,0,84,793,0
sample41,452,763,669,3030,1119,111,480
sample42,707,707,3123,225,1026,699,2578
sample43,0,39,38,2,23,34,194
sample44,248,2,377,0,6,935,0
sample46,328,0,122,0,23,741,0
sample47,1300,1,722,7,490,299,10
sample49,328,40,961,0,337,1195,13
sample5,4,55,25,85,47,12,616
sample50,451,0,171,0,133,791,0
sample51,1449,35,462,85,695,1869,63
sample52,1213,0,267,0,699,3356,0
sample53,61,0,159,0,448,828,0
sample54,48,0,14,0,125,1457,0
sample55,42,60,271,125,204,337,650
sample56,0,112,97,0,185,0,1566
sample57,32,490,85,1534,41,0,10
sample58,35,6,380,7,394,51,1232
sample59,172,1841,451,101,39,11,1128
sample6,2,442,36,3,5,1,330
sample63,107,330,1455,4,302,187,1168
sample64,2,1,129,0,205,25,553
sample65,206,177,307,33,197,1097,428
sample66,11,524,46,915,18,0,1357
sample67,124,2,90,1,37,433,38
sample68,13,1356,1062,940,847,10,2287
sample69,230,700,897,333,420,16,628
sample7,0,2421,161,0,0,0,0
sample70,152,0,231,2,231,397,125
sample72,6,329,35,1404,125,0,844
sample73,0,121,2,2070,54,0,36
sample74,1,0,3,0,4,254,0
sample76,0,638,6,1036,23,0,8
sample8,0,694,8,0,0,0,0
sample9,0,29,26,803,84,0,156
