rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L1.StatusNeuro_AD,StatusNeuro_AD,-0.00073895183372602,0.000292129593299699,49.9643955485567,-2.5295343254318,0.0146222006266343,L1
L1.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.000822545221599931,0.000311466516237203,51.1422595588855,-2.64087848522859,0.0109400856280215,L1
L3,StatusNeuro_ADAD,-0.00068547284154736,0.000295147059839103,44.509874442412,-2.32247897682274,0.0248404854454183,L3
L5.StatusNeuro_AD,StatusNeuro_AD,-0.000343118235547542,0.00013957975865908,32.9742219300407,-2.45822344761034,0.0193857681845539,L5
L5.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.000310010104794237,0.000151695179287907,35.9918571790225,-2.0436384745349,0.0483611876946943,L5
L7.Sex2,Sex2,-0.00157461304328376,0.000729640713048549,54.7530524937361,-2.15806631280866,0.0353251624308476,L7
L7.StatusNeuro_OT,StatusNeuro_OT,0.00312475881899,0.00145747583946989,59.0783073348545,2.14395239658074,0.0361627459713601,L7
L9.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.0017298269781543,0.000737824174339221,50.5521956082138,-2.34449756231354,0.0230204079713043,L9
L9.StatusNeuro_OT,StatusNeuro_OT,0.00201450463488277,0.000846726051111136,54.2233479839285,2.37916931012007,0.0209005501514029,L9
L11,StatusNeuro_ADAD,-0.00369382594812676,0.00129160870924962,54.6754322260405,-2.85986454076541,0.00598964985693378,L11
L15,StatusNeuro_ADAD,0.00163171727448333,0.000409737047235635,59.9231933578785,3.98235230495266,0.000187195176019802,L15
L16,StatusNeuro_OT,-0.000755068607849185,0.00035859376696728,31.9972309009344,-2.10563784818402,0.0431738247820669,L16
L18,StatusNeuro_ADAD,0.00313806908783323,0.000691444219732901,54.2489691167681,4.53842695951011,3.18465299924514e-05,L18
L19,StatusNeuro_ADAD,0.00228268509384811,0.000503908649093919,59.8771776428615,4.52995815402777,2.86990131726259e-05,L19
L20,StatusNeuro_ADAD,0.00321537125495275,0.000664626440057459,42.1922057346633,4.83786238578588,1.78304878324072e-05,L20
L21,StatusNeuro_ADAD,0.0034028662392989,0.000807922809018172,50.1714885796341,4.21187049222467,0.00010509349450412,L21
L22.Sex2,Sex2,0.00147047508933776,0.00054613264074446,48.9380444106876,2.69252371975659,0.00968170897929804,L22
L22.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00363108254591753,0.000963708916359427,50.1344996748615,-3.76782084743447,0.000434264921864867,L22
