1,2,3,4,5,6,7
0,9,3741,197,353,0,2,0
1,20,140,2900,708,0,0,0
2,0,121,1182,2377,0,0,0
3,101,114,46,20,1,1626,1030
4,550,343,21,17,0,1,0
5,35,29,362,109,0,1,0
6,3,75,14,6,346,3,8
7,155,40,15,6,3,84,55
8,229,31,17,10,0,18,2
9,68,13,2,1,0,2,0

1,2,3,4,5,6,7
sample10,0,4,222,7,3,0,0
sample11,0,0,7,0,0,6,2
sample13,0,1,3,261,0,2,2
sample14,38,44,2,55,2,0,1
sample15,4,0,127,38,3,14,13
sample16,0,0,172,17,1,3,0
sample17,0,1,4,200,0,1,0
sample19,0,0,3,35,2,7,1
sample2,2,228,0,0,1,0,1
sample20,0,0,0,0,0,7,7
sample21,0,0,36,3,0,0,0
sample22,2,0,249,72,10,2,1
sample23,1,0,184,145,4,13,1
sample24,0,0,0,1,0,0,2
sample25,0,0,14,0,0,3,2
sample26,3,507,13,0,2,5,0
sample27,0,0,0,0,1,0,2
sample28,0,0,6,13,0,14,14
sample29,2,0,226,109,2,2,1
sample3,1,68,4,542,0,10,0
sample30,0,23,0,31,0,2,2
sample31,0,0,1,0,0,0,0
sample32,0,0,0,0,0,1,0
sample33,1,42,176,106,1,13,0
sample34,0,1,303,55,0,0,1
sample35,1,3,88,30,1,3,0
sample36,0,0,82,70,0,5,3
sample37,0,0,36,11,0,0,1
sample38,20,8,0,114,0,0,1
sample39,0,0,308,100,1,5,1
sample4,0,0,0,0,1,2,3
sample40,71,87,2,0,1,5,4
sample41,23,14,228,354,11,12,13
sample42,8,0,0,4,4,15,64
sample43,7,0,248,356,10,0,2
sample44,163,133,0,0,45,22,78
sample46,218,296,0,0,62,395,201
sample47,43,1034,7,16,41,61,16
sample49,3,16,15,0,4,6,6
sample5,0,0,0,0,0,2,5
sample50,4,610,8,0,7,1,1
sample51,152,399,1,59,22,151,113
sample52,234,692,4,0,16,94,52
sample53,119,423,7,0,64,507,142
sample54,31,0,0,0,7,271,293
sample55,0,0,44,13,0,2,1
sample56,0,0,1,0,0,1,0
sample57,0,0,61,4,0,0,1
sample58,0,0,59,3,0,2,0
sample59,0,7,57,70,0,1,1
sample6,0,0,0,0,0,0,3
sample63,1,0,5,0,0,25,11
sample64,0,1,248,20,0,3,3
sample65,0,0,9,2,1,11,4
sample66,0,0,0,1,0,2,1
sample67,0,0,184,190,0,1,0
sample68,3,0,360,305,1,7,6
sample69,6,3,569,90,17,6,2
sample7,8,0,0,12,1,6,6
sample70,0,0,4,0,0,7,2
sample72,0,0,2,1,0,0,1
sample73,0,1,53,46,0,0,0
sample74,1,1,0,0,0,1,0
sample76,0,0,197,17,1,0,0
sample8,0,0,0,0,0,0,1
sample9,0,0,117,29,0,0,0
